danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.841,0.732,0.19,2.18e-05,0.136,0.576,149.012,2.3913333333333333,2021.0,7.0,0.0,4.0,hip-hop,73,1
0.711,0.611,0.33,0.0,0.23,0.144,134.093,4.204366666666667,2021.0,1.0,1.0,4.0,hip-hop,79,1
0.847,0.733,0.16,1.04e-05,0.151,0.202,130.029,3.2265166666666665,2020.0,10.0,0.0,4.0,hip-hop,80,1
0.846,0.48,0.359,0.0,0.0989,0.419,143.029,2.8255333333333335,2020.0,8.0,0.0,4.0,hip-hop,68,1
0.88,0.575,0.163,0.0,0.109,0.671,120.031,3.8674666666666666,2021.0,6.0,1.0,4.0,hip-hop,71,1
0.477,0.727,0.286,0.0,0.108,0.227,150.062,3.942066666666667,2021.0,2.0,1.0,4.0,hip-hop,70,1
0.853,0.495,0.14,0.000217,0.0844,0.0774,137.027,4.0538,2022.0,6.0,1.0,4.0,hip-hop,68,1
0.833,0.434,0.431,0.0219,0.165,0.281,150.062,3.41,2017.0,2.0,1.0,4.0,hip-hop,81,1
0.856,0.564,0.392,0.0,0.134,0.483,77.972,2.266,2020.0,6.0,0.0,4.0,hip-hop,70,1
0.79,0.67,0.105,2.32e-06,0.119,0.408,139.956,3.265833333333333,2022.0,1.0,1.0,4.0,hip-hop,75,1
